type, timestamp, datapath_id, n_buffers, n_tables, capabilities, cookie, command, flags, idle_timeout, hard_timeout, priority, buffer_id, out_port, data,-./01234567, in_port, total_len, reason, eth_dst, eth_src, duration_sec, duration_nsec, packet_count, byte_count
 PACKETIN, 1711750749.8868082, 3,,,,,,,,,, 4294967295,, bB\xef\x19\x03\xa4\xfa\x83\xc4\xb6\x8c\x08\x00E\x00\x00T\xb5\xff@\x00@\x01p\xa6\n\x00\x00\x01\n\x00\x00\x03\x08\x00u\xd0d\xcf\x00\x01]\x07f\x00\x00\x00\x00\xed\xe7\x0c\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750749.9124541, 3,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, fa:83:c4:22:b6:8c, 42:ef:19:3e:03:a4,,,,
 PACKETIN, 1711750749.9124541, 3,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8cB\xef\x19\x03\xa4\x08\x00E\x00\x00T\x990\x00\x00@\x01\xcdu\n\x00\x00\x03\n\x00\x00\x01\x00\x00\xd0d\xcf\x00\x01]\x07f\x00\x00\x00\x00\xed\xe7\x0c\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750749.9234042, 2,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, fa:83:c4:22:b6:8c, 42:ef:19:3e:03:a4,,,,
 PACKETIN, 1711750749.9234042, 2,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8cB\xef\x19\x03\xa4\x08\x00E\x00\x00T\x990\x00\x00@\x01\xcdu\n\x00\x00\x03\n\x00\x00\x01\x00\x00\xd0d\xcf\x00\x01]\x07f\x00\x00\x00\x00\xed\xe7\x0c\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 3, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750749.9669344, 1,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, fa:83:c4:22:b6:8c, 42:ef:19:3e:03:a4,,,,
 PACKETIN, 1711750749.9669344, 1,,,,,,,,,, 4294967295,, b\xfa\x83\xc4\xb6\x8cB\xef\x19\x03\xa4\x08\x00E\x00\x00T\x990\x00\x00@\x01\xcdu\n\x00\x00\x03\n\x00\x00\x01\x00\x00\xd0d\xcf\x00\x01]\x07f\x00\x00\x00\x00\xed\xe7\x0c\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 2, 98," NO MATCH
",,,,,,
 FLOWMOD, 1711750750.8721411, 1,,,, 0, 0, 1, 10, 0, 1, 4294967295," 4294967295
",,,,,, 42:ef:19:3e:03:a4, fa:83:c4:22:b6:8c,,,,
 PACKETIN, 1711750750.8721411, 1,,,,,,,,,, 4294967295,, bB\xef\x19\x03\xa4\xfa\x83\xc4\xb6\x8c\x08\x00E\x00\x00T\xb6\xa4@\x00@\x01p\x01\n\x00\x00\x01\n\x00\x00\x03\x08\x00\xde\xbed\xcf\x00\x02^\x07f\x00\x00\x00\x00\x83\xf8\x0c\x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !#$%&\*+,, 1, 98," NO MATCH
",,,,,,
 FLOWREMOVED, 1711750757.0048904, 1,,,, 0,,, 10,, 1,,,,,,," IDLE TIMEOUT
", d2:1b:ec:bf:cb:d6, fa:83:c4:22:b6:8c, 18, 850000000, 6, 476
